epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3382.66,0.82099,0.5542,0.97198,0.74694,0.59787,0.67026,0.40743,1.29757,0.95288,1.23004,0.00109,0.00109,0.00109
56,3438.88,0.82048,0.55546,0.97379,0.7371,0.61098,0.67456,0.40921,1.29833,0.95993,1.22741,0.000925,0.000925,0.000925
57,3495.22,0.80661,0.54359,0.96661,0.77603,0.59947,0.67941,0.41153,1.29416,0.94564,1.22801,0.00076,0.00076,0.00076
58,3553.31,0.80495,0.53957,0.96723,0.75701,0.59509,0.67281,0.40888,1.29492,0.9483,1.233,0.000595,0.000595,0.000595
59,3611.29,0.79488,0.53357,0.95982,0.73962,0.61365,0.67409,0.41045,1.29047,0.95785,1.23033,0.00043,0.00043,0.00043
60,3676.98,0.78972,0.52907,0.96081,0.75964,0.60163,0.67657,0.41288,1.2889,0.94894,1.23101,0.000265,0.000265,0.000265
1,472.676,1.65255,2.35588,1.66128,0.4885,0.36615,0.37977,0.18664,1.74373,2.27979,1.88947,0.0700111,0.0033321,0.0033321
2,935.882,1.5555,1.98258,1.59415,0.51883,0.49397,0.50171,0.28174,1.56139,1.91478,1.72435,0.0396812,0.00633549,0.00633549
3,1396.37,1.46159,1.78604,1.51698,0.51554,0.49802,0.52403,0.29497,1.49163,1.67885,1.66283,0.00902126,0.00900888,0.00900888
4,1851.56,1.39744,1.65057,1.46273,0.65801,0.54602,0.59004,0.35583,1.44369,1.5864,1.60075,0.008515,0.008515,0.008515
5,2309.18,1.34363,1.54464,1.42302,0.67701,0.56154,0.62607,0.37951,1.39871,1.47869,1.57057,0.00802,0.00802,0.00802
6,2762.42,1.3049,1.47072,1.39592,0.68583,0.59019,0.63767,0.39075,1.37957,1.44582,1.55973,0.007525,0.007525,0.007525
7,3214.8,1.27473,1.42097,1.37214,0.67562,0.60504,0.65325,0.41023,1.35391,1.38386,1.52726,0.00703,0.00703,0.00703
8,3665.82,1.24646,1.3648,1.34829,0.68836,0.61135,0.65197,0.41386,1.33194,1.36831,1.50818,0.006535,0.006535,0.006535
9,4107.94,1.22537,1.31956,1.33013,0.68749,0.617,0.65946,0.42231,1.31186,1.33078,1.48386,0.00604,0.00604,0.00604
10,4552.02,1.20436,1.27303,1.31492,0.71834,0.61906,0.67287,0.43378,1.2959,1.3099,1.47166,0.005545,0.005545,0.005545
11,4976.75,1.16829,1.13609,1.33279,0.70923,0.6369,0.6875,0.44367,1.28261,1.2686,1.45746,0.00505,0.00505,0.00505
12,5399.17,1.13554,1.0776,1.30478,0.745,0.6348,0.69549,0.45218,1.25951,1.23297,1.43381,0.004555,0.004555,0.004555
13,5838.24,1.10711,1.03556,1.28319,0.74988,0.62312,0.69637,0.45761,1.253,1.20184,1.43174,0.00406,0.00406,0.00406
14,6273.71,1.08474,1.00464,1.26595,0.74072,0.64132,0.69786,0.46246,1.25191,1.20852,1.4273,0.003565,0.003565,0.003565
15,6708.18,1.06517,0.9764,1.25013,0.76222,0.63338,0.70156,0.46816,1.23625,1.17857,1.41672,0.00307,0.00307,0.00307
16,7139.08,1.04404,0.94613,1.2372,0.73329,0.65856,0.70737,0.46949,1.23175,1.15482,1.40934,0.002575,0.002575,0.002575
17,7570.1,1.02409,0.92101,1.22005,0.75733,0.64486,0.70952,0.47723,1.22086,1.15269,1.39995,0.00208,0.00208,0.00208
18,7999.72,1.00976,0.90342,1.21151,0.76719,0.64242,0.71514,0.48347,1.21252,1.13428,1.39447,0.001585,0.001585,0.001585
19,8427.73,0.9944,0.88499,1.19886,0.79078,0.62956,0.71836,0.48397,1.21472,1.13062,1.39813,0.00109,0.00109,0.00109
20,8858.23,0.98301,0.87009,1.19233,0.78517,0.64319,0.71619,0.48118,1.21275,1.12777,1.39525,0.000595,0.000595,0.000595
1,522.19,1.58671,2.25946,1.606,0.37822,0.3009,0.24775,0.12685,1.93532,3.01579,2.10228,0.0700111,0.0033321,0.0033321
2,1036.15,1.53974,2.1035,1.55568,0.51709,0.44884,0.46217,0.2687,1.57047,1.99426,1.73219,0.0399012,0.00655545,0.00655545
3,1544.78,1.47181,1.92962,1.50712,0.60063,0.50879,0.5305,0.31705,1.48406,1.66478,1.63244,0.00968118,0.0096688,0.0096688
4,2057.83,1.41645,1.78721,1.45958,0.63284,0.54444,0.57778,0.35347,1.45471,1.63548,1.59693,0.009505,0.009505,0.009505
5,2567.27,1.3739,1.6805,1.42725,0.6717,0.55744,0.60282,0.37472,1.39907,1.51939,1.54838,0.00934,0.00934,0.00934
6,3075.18,1.33702,1.60464,1.40489,0.66443,0.57303,0.60887,0.3779,1.38841,1.48198,1.53625,0.009175,0.009175,0.009175
7,3584.17,1.31298,1.54601,1.38572,0.70184,0.58403,0.64797,0.4131,1.35273,1.3947,1.50093,0.00901,0.00901,0.00901
8,4089.41,1.27928,1.47575,1.36434,0.69974,0.60054,0.6497,0.41769,1.32144,1.37873,1.48264,0.008845,0.008845,0.008845
9,4598.13,1.26144,1.42925,1.34696,0.71264,0.6123,0.65589,0.42717,1.30806,1.37531,1.47156,0.00868,0.00868,0.00868
10,5108.22,1.23852,1.38386,1.33097,0.72972,0.61016,0.66891,0.43239,1.29655,1.29301,1.45862,0.008515,0.008515,0.008515
